Date,Open,High,Low,Close,Adj Close,Volume
2021-08-04,296.666656,317.216675,291.666656,316.111115,311.920624,31320775
2021-08-05,314.444458,314.444458,303.627777,309.444458,305.342346,23362619
2021-08-06,313.772217,315.000000,299.444458,302.155548,298.150055,25868241
2021-08-09,295.555542,295.833344,279.438873,286.666656,282.866516,33449599
2021-08-10,283.894440,288.438873,277.222229,283.611115,279.851471,32430335
2021-08-11,283.333344,290.555542,280.488892,287.361115,283.551727,20225581
2021-08-12,284.450012,284.994446,274.444458,278.888885,275.191833,30809131
2021-08-13,266.666656,294.388885,266.666656,278.916656,275.219238,49906373
2021-08-16,274.444458,279.938873,261.044434,265.000000,261.487061,39679164
2021-08-17,269.444458,274.888885,265.133331,266.666656,263.131622,28099148
2021-08-18,270.299988,279.388885,265.227783,275.000000,271.354492,28723465
2021-08-19,278.888885,283.183319,268.888885,279.444458,275.740021,26016332
2021-08-20,277.222229,277.333344,268.055542,274.505554,270.866577,22549690
2021-08-23,280.555542,290.677765,278.894440,289.944458,286.100830,29203975
2021-08-24,286.888885,300.055542,286.177765,290.555542,286.703827,23964681
2021-08-25,291.111115,295.666656,284.000000,294.577789,290.672760,17154624
2021-08-26,299.988892,310.522217,289.383331,289.444458,285.607452,30236859
2021-08-27,288.888885,291.111115,278.888885,281.944458,278.206909,21524682
2021-08-30,281.916656,292.111115,277.144440,280.688873,276.967957,28285799
2021-08-31,284.411102,284.411102,269.916656,274.927765,271.283203,26571756
2021-09-01,273.333344,274.444458,261.944458,271.505554,267.906372,26032815
2021-09-02,273.333344,275.616669,269.877777,274.166656,270.532196,20636796
2021-09-03,276.666656,279.933319,267.155548,270.277771,266.694855,20307641
2021-09-06,273.888885,287.777771,268.333344,286.722229,282.921326,26625522
2021-09-07,286.111115,292.588898,283.333344,285.561096,281.775604,16960017
2021-09-08,288.333344,290.877777,277.777771,279.444458,275.740021,17530911
2021-09-09,283.055542,288.322235,272.666656,281.777771,278.042419,19829176
2021-09-10,274.133331,279.877777,272.600006,278.944458,275.246643,20334484
2021-09-13,278.944458,284.500000,275.555542,279.333344,275.630402,16144138
2021-09-14,281.733337,300.555542,279.399994,294.388885,290.486359,42090582
2021-09-15,294.444458,295.549988,284.338898,291.861115,287.992096,18902617
2021-09-16,290.555542,290.555542,276.666656,276.666656,272.999054,20268734
2021-09-17,276.111115,282.777771,273.405548,279.444458,275.740021,14748906
2021-09-22,274.777771,278.333344,271.166656,274.061096,270.428009,11563056
2021-09-23,280.477783,280.477783,273.222229,273.883331,270.252625,14348557
2021-09-24,274.927765,284.727783,272.500000,277.766663,274.084473,18472485
2021-09-27,280.555542,288.777771,277.661102,285.277771,281.496033,26093275
2021-09-28,284.444458,287.750000,276.777771,278.016663,274.331146,16600509
2021-09-29,275.555542,284.333344,274.444458,279.172211,275.471405,16911835
2021-09-30,280.555542,295.833344,278.894440,292.072235,288.200409,30085623
2021-10-08,296.666656,305.594452,290.500000,296.666656,292.733948,22530465
2021-10-11,297.222229,298.666656,287.811096,289.444458,285.607452,14095598
2021-10-12,289.766663,290.344452,277.155548,280.555542,276.836395,17263229
2021-10-13,280.555542,290.277771,280.000000,290.144440,286.298157,13774039
2021-10-14,291.666656,297.155548,291.666656,295.722229,291.802032,14114797
2021-10-15,295.555542,321.594452,293.388885,316.111115,311.920624,41312338
2021-10-18,322.777771,330.688873,316.666656,330.566681,326.184540,33606388
2021-10-19,335.555542,341.655548,325.000000,328.111115,323.761566,27160119
2021-10-20,330.555542,340.766663,326.111115,327.500000,323.158539,22439849
2021-10-21,327.777771,332.777771,322.222229,331.111115,326.721771,18256134
2021-10-22,336.655548,336.655548,327.961121,334.111115,329.682007,19838885
2021-10-25,340.000000,347.311096,335.183319,339.316681,334.818542,25293762
